Accident_Index,Date,Time,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Weather_Conditions,Road_Surface_Conditions,Light_Conditions,Speed_limit,Junction_Detail,Urban_or_Rural_Area,Latitude,Longitude
A000029,06/05/2023,13:22,3,3,2,9,7,5,70,2,2,53.12522187832392,-1.125037532898738
A000030,16/02/2023,22:35,3,3,1,4,4,7,70,3,1,52.53663890273334,1.5367169257213047
A000031,31/08/2023,04:20,3,1,0,3,3,6,30,1,2,53.23185326951938,2.485179382115812
A000032,19/03/2023,21:51,3,4,2,4,7,1,20,9,1,49.538160410681016,0.9776358334214527
A000033,20/02/2023,06:35,3,1,0,4,2,6,30,5,1,50.327642230305244,-0.43549043484415495
A000034,20/01/2023,12:13,3,5,3,3,1,5,20,7,1,51.929333993536105,-0.31751898597907535
A000035,03/01/2023,16:26,3,2,2,8,4,1,60,8,1,53.07610039849125,1.3048199252061212
A000036,20/07/2023,06:27,1,1,1,5,7,7,40,9,1,53.37931517572074,-0.09059311542728068
A000037,03/07/2023,23:18,3,4,3,1,5,5,40,7,2,49.501407976306375,-0.7371991397536036
A000038,16/10/2023,13:48,3,3,3,4,4,1,60,7,1,51.222318255560964,0.18878504360725099
A000039,21/07/2023,11:22,2,4,0,2,2,7,50,7,1,52.701300737513805,-1.5508534328510772
A000040,01/03/2023,08:32,3,2,3,7,1,7,30,7,2,51.32133628645988,2.6818792139612166
A000041,13/04/2023,20:55,1,4,1,9,2,4,70,3,2,52.926169043189994,2.7953002552080686
A000042,15/09/2023,04:27,3,2,2,4,3,6,40,6,1,50.256596758004996,-2.1033462857623273
A000043,20/06/2023,13:45,3,2,2,4,3,1,40,9,1,53.20221253065579,1.7809379173997466
A000044,05/05/2023,08:27,3,1,3,2,4,4,20,2,2,50.20972427070216,-2.380762442063184
A000045,16/08/2023,02:22,3,1,0,2,6,7,30,0,2,52.98469698646863,-2.0185716884096676
A000046,20/03/2023,09:11,2,4,1,9,4,7,30,2,2,50.91950662718245,2.662659163363832
A000047,07/11/2023,15:15,3,4,3,7,6,4,40,3,2,52.651204979240504,-0.26680663271469374
A000048,10/12/2023,14:08,3,5,0,5,7,4,40,6,1,52.04131566315745,2.1442625643224456
A000049,05/10/2023,20:09,3,3,1,5,6,4,60,9,1,49.842536721280844,2.152752453404338
A000050,24/01/2023,22:51,3,2,2,2,3,6,40,1,2,50.613506638688484,-2.008161923436554
A000051,10/04/2023,06:16,3,1,3,7,4,7,40,9,2,53.46334324733353,-1.8553821486943483
A000052,29/07/2023,14:03,3,4,2,3,3,4,30,2,2,50.41229701927679,-0.7164316357345121
A000053,26/10/2023,12:09,3,4,1,2,4,4,50,9,2,52.65332729159674,1.8975150149484885
A000054,17/02/2023,23:21,3,2,3,9,6,7,30,5,2,52.805709941230106,0.5292180014831743
A000055,21/07/2023,03:35,3,2,2,6,3,5,70,5,2,52.95056918401837,0.48654401397635694
A000056,08/11/2023,14:24,2,4,3,1,3,1,70,0,1,51.52581809957731,-0.5294255582316033
A000057,07/02/2023,14:44,3,2,1,4,2,7,50,8,2,51.14948078471043,2.188788695647816
A000058,14/05/2023,14:35,3,2,2,7,7,5,70,6,1,53.00902543615164,-0.6344927577151739
A000059,28/11/2023,13:57,3,2,1,3,1,6,30,6,1,52.765369668712324,-0.38409645634926226
A000060,25/11/2023,21:47,3,1,3,8,3,4,70,7,2,51.732552062452974,2.3287947629311954
A000061,21/02/2023,22:00,3,4,2,6,3,6,40,7,1,52.95991806400866,-2.8269380000892412
A000062,06/10/2023,04:22,2,5,0,8,4,1,30,5,1,49.76518826051046,-2.2075386279704454
A000063,27/07/2023,20:40,3,3,3,3,3,6,30,1,1,50.2207520637465,-2.709721166495391
A000064,23/03/2023,14:01,3,4,2,5,1,7,20,7,1,52.588913540835755,-3.082322250564331
A000065,10/04/2023,06:21,3,4,0,9,6,5,40,8,1,53.218512197289336,-0.19253037156462086
A000066,31/08/2023,17:15,3,3,3,2,1,4,20,3,1,53.420169274585966,-1.6903622223415966
A000067,16/10/2023,03:09,3,5,1,9,3,6,20,3,2,52.532664973508965,0.4644717016301648
A000068,30/04/2023,03:17,3,4,2,5,6,7,60,7,2,51.22852612410932,-2.9635183045299156
A000069,05/03/2023,02:55,3,5,1,1,4,1,40,1,2,52.2725731291549,-2.5135241553818264
A000070,07/12/2023,10:11,3,2,3,7,1,7,40,0,1,50.78194889411216,2.0245222685429662
A000071,23/11/2023,11:58,1,2,2,9,7,1,60,0,2,49.621732537947025,2.2868953438192947
A000072,31/10/2023,05:08,3,3,2,2,5,4,70,7,2,49.76464983183396,0.2416660168526815
A000073,09/04/2023,14:04,3,2,0,8,4,4,40,9,2,51.16750226474721,-0.7222091292339389
A000074,28/01/2023,15:00,3,4,3,6,5,5,20,9,1,53.139109672694545,-0.249262067954425
A000075,01/10/2023,09:46,3,2,2,4,7,7,40,8,2,51.53892427238565,0.1814461435161295
A000076,02/09/2023,21:00,3,4,0,6,7,6,30,7,1,51.80676462156079,0.10000066540053795
A000077,03/05/2023,18:06,2,5,3,1,7,1,70,3,1,50.89889178653872,1.4239458711247788
A000078,01/06/2023,07:58,3,3,0,7,6,5,30,9,2,51.84338790649134,-2.0866094952541365
A000079,05/04/2023,04:21,3,5,3,2,5,4,60,2,2,51.80188850425204,2.0602240284761275
A000080,30/10/2023,23:51,2,4,2,5,6,5,60,2,1,50.64945503274199,2.80199216221537
A000081,13/02/2023,18:22,3,5,0,8,4,1,30,8,2,52.19745908992892,-1.7419463325750144
A000082,18/10/2023,09:00,3,4,1,7,6,5,30,1,2,51.56405745853737,-1.1701744838433519
A000083,23/06/2023,03:10,3,1,2,1,6,1,30,8,1,53.458759918923434,-2.833474345712521
A000084,16/01/2023,04:02,3,3,0,4,3,7,20,7,1,49.76555050464289,2.4494177432610402
A000085,03/09/2023,04:20,2,3,2,6,5,6,30,1,2,51.206756981388516,-2.967714826222599
A000086,07/09/2023,05:14,3,1,2,2,4,5,70,1,2,53.005699704509794,-0.03465174144011343
A000087,15/07/2023,23:24,3,5,3,3,5,6,20,5,1,51.11037988641445,-2.505668672907377
A000088,19/01/2023,21:41,3,3,3,8,7,7,60,0,1,52.13168540949378,-0.2780307544411408
A000089,24/06/2023,02:03,3,3,1,5,3,7,70,0,1,50.95619466451905,2.1048182056150124
A000090,21/12/2023,23:08,2,2,1,8,3,6,60,9,1,51.09040702362007,-1.2394016370276633
A000091,27/11/2023,00:53,2,1,2,7,4,6,40,3,2,51.865963876847694,-0.6342183044469593
A000092,13/05/2023,10:52,3,3,0,5,4,4,60,1,1,50.51061581276596,0.9187536726793987
A000093,24/06/2023,12:26,3,1,1,8,6,6,30,9,1,50.77615040340678,0.19569021541181594
A000094,15/04/2023,22:18,2,4,1,4,7,6,20,3,2,50.49001315234668,-2.1987234254975725
A000095,06/02/2023,17:23,3,1,3,5,6,5,40,0,1,52.49274864946445,-1.557554321959277
A000096,22/05/2023,19:56,2,4,2,9,6,4,30,3,2,53.17633551636897,-1.1330805323545818
A000097,26/08/2023,21:48,2,4,1,6,2,4,20,9,2,51.15497633958939,0.10127839040669748
A000098,16/04/2023,01:06,1,2,1,3,2,5,20,7,2,51.46360297857163,2.1064614435159075
A000099,02/06/2023,22:04,3,1,1,9,4,6,50,6,2,49.98438002517251,1.2407160736276626
A000100,03/07/2023,22:05,2,1,2,4,4,1,50,5,2,51.16749179756584,1.6914010550994099
A000101,23/10/2023,00:37,3,5,1,3,4,6,20,2,2,53.21994702349826,-0.13975874360591592
A000102,02/12/2023,14:40,3,2,1,9,2,6,20,5,2,52.69672969748461,-0.43765150906019146
A000103,26/04/2023,06:00,3,1,1,7,1,7,30,7,2,52.10469728120867,-1.4572646422814535
A000104,24/02/2023,02:32,3,2,3,8,7,4,40,2,2,51.30926879545541,2.663484341479076
A000105,10/08/2023,16:14,3,4,0,9,2,5,70,2,2,49.66948141133281,1.5295514904603968
A000106,26/08/2023,16:59,3,5,0,7,3,5,50,2,1,52.30807303697911,2.816399521711833
A000107,21/09/2023,19:09,3,5,3,4,2,6,70,8,1,51.03533175386778,-2.6128149848189284
A000108,31/05/2023,04:22,3,3,1,3,3,5,70,7,2,52.6336588066918,1.3028216444681635
A000109,14/03/2023,12:26,2,4,0,9,2,1,40,6,1,52.748988489492156,1.0230854265507907
A000110,23/11/2023,00:50,3,1,3,6,4,7,70,6,1,51.73198396783387,-0.6841874365849286
A000111,04/04/2023,09:07,3,3,2,3,3,6,40,0,2,50.4191700444296,-0.5636106652696896
A000112,11/06/2023,17:07,3,5,0,4,7,4,40,8,1,51.44452275312434,-1.6049355769951374
A000113,17/04/2023,03:01,2,5,2,6,5,1,20,5,2,52.703144596038825,1.1650023595185908
A000114,27/02/2023,23:15,3,3,1,6,2,7,50,1,1,50.63905559730402,-2.939850424816868
A000115,06/11/2023,14:07,3,4,3,1,5,7,20,2,1,52.8498157137997,1.4284797390459754
A000116,01/03/2023,07:21,3,3,1,9,7,1,50,3,1,53.138899640865134,1.4682181998561679
A000117,30/08/2023,20:52,3,3,0,1,1,6,30,3,1,51.8926716518336,-1.2853564600432954
A000118,21/02/2023,18:30,3,3,0,1,4,4,40,3,1,50.85022574618708,-2.8576103307256493
A000119,10/11/2023,02:51,3,5,1,9,2,5,60,7,1,49.560601222982605,2.2660604238881175
A000120,19/08/2023,08:58,3,2,2,1,1,6,30,0,1,51.29171729013178,0.30878596816823534
A000121,16/06/2023,15:41,3,2,3,2,3,1,60,5,2,52.516040444437124,-2.192424915660884
A000122,31/07/2023,13:30,3,3,1,9,2,5,60,6,2,51.499409477103725,-1.8973803313026825
A000123,26/06/2023,02:12,1,2,3,6,3,1,30,2,1,50.02973703670416,-2.99571494279469
A000124,03/01/2023,17:03,2,2,3,7,7,6,40,6,2,52.117677830541254,-2.5259207604497207
A000125,04/09/2023,11:03,3,4,2,2,1,1,40,9,1,53.373308033653146,-1.7332410908201012
A000126,01/01/2024,19:35,3,3,3,4,5,6,60,9,2,51.07554715180459,-0.8694227080024207
A000127,09/12/2023,09:21,3,4,3,6,6,5,40,0,1,51.725583140885206,-2.7758839438079748
A000128,29/07/2023,02:05,2,1,0,5,3,6,60,8,1,51.47646491788315,2.2009058742055934
A000129,23/12/2023,14:23,3,2,2,2,3,5,70,2,1,49.52269037128756,1.0285128181694474
A000130,26/03/2023,14:25,1,1,0,8,4,1,50,5,2,51.726010127887015,2.201246920162672
A000131,20/07/2023,17:26,3,2,0,4,3,1,30,8,1,51.70582457762528,0.7976592583699272
A000132,13/08/2023,15:05,3,1,1,2,4,1,20,9,1,53.4665369854263,0.7951129045732902
A000133,30/12/2023,03:02,3,3,1,7,6,5,40,2,1,49.90858646318935,-2.1794299286607526
A000134,20/03/2023,09:02,3,2,1,7,5,7,50,5,2,51.69921642169106,0.041300500393025436
A000135,29/01/2023,00:38,2,5,2,8,1,5,60,9,1,53.111424924297026,-1.6759973575013012
A000136,26/11/2023,09:39,2,4,0,4,2,7,20,2,1,52.47950656251328,-2.0692718644603403
A000137,26/12/2023,00:19,3,2,0,8,4,6,70,9,2,51.066904846690214,-0.03991831288360395
A000138,10/05/2023,20:32,3,2,2,7,1,5,70,7,2,51.17949711863524,1.0367988481344885
A000139,22/03/2023,11:46,3,4,1,5,3,1,50,9,2,50.3210022050268,-0.796200322125466
A000140,09/12/2023,00:31,3,3,0,2,1,6,40,8,1,51.911905319078045,2.8050124257642497
A000141,24/10/2023,04:51,3,4,0,8,5,5,30,3,2,52.0579952785469,-2.640866665306046
A000142,08/06/2023,04:31,2,1,3,1,1,4,40,7,1,49.861771056583024,1.8089804514694232
A000143,27/12/2023,23:33,3,5,2,9,4,1,30,7,2,53.459617161698205,1.643052131387646
A000144,28/12/2023,20:46,3,2,3,3,2,4,40,3,1,51.97434814128323,1.7425961324420238
A000145,24/05/2023,20:43,3,4,3,2,5,7,50,7,1,52.818446373464596,2.0202938090189186
A000146,30/12/2023,07:46,3,2,1,7,4,4,50,2,2,51.73142123521577,1.7649143691682965
A000147,31/07/2023,15:18,2,1,1,7,7,7,40,6,1,52.14380368170065,-1.700177168651037
A000148,11/03/2023,05:05,3,3,1,4,2,5,60,7,1,51.38900816132887,1.7157857648331585
A000149,07/07/2023,02:30,3,3,2,4,6,4,40,3,2,50.20672171220301,0.567892328955245
A000150,28/03/2023,03:27,3,1,3,2,6,7,30,6,2,49.52194775697869,2.6926401192078884
A000151,19/04/2023,08:18,1,2,2,2,5,6,20,3,2,50.8277030628509,-1.0878814978368534
A000152,25/11/2023,21:41,3,5,0,2,6,4,20,2,1,51.34492300682373,2.476992662479302
A000153,04/12/2023,14:48,3,3,2,4,1,6,60,0,2,52.57596217964332,1.631668509173235
A000154,20/03/2023,23:07,3,3,3,1,5,1,20,6,2,52.639835950905386,1.0253220015406286
A000155,20/04/2023,16:06,3,1,0,9,5,6,20,2,2,53.39973180340073,1.1150660529587815
A000156,30/05/2023,02:37,3,1,0,2,2,5,60,8,2,50.37987641633855,1.2376461172325715
A000157,02/05/2023,08:31,3,2,3,2,7,6,30,5,2,51.74085347924199,-1.3405484056806258
A000158,04/03/2023,16:30,2,3,1,1,3,7,50,3,1,50.26662444440184,-0.1911604937453321
A000159,03/12/2023,04:00,3,5,3,3,3,7,20,6,1,49.53059978262642,-1.4258411200921186
A000160,30/04/2023,21:36,2,3,2,2,4,7,70,6,1,50.49348624868011,-1.380065304835926
A000161,10/07/2023,03:13,3,3,2,9,6,7,70,6,2,51.04335672654972,-0.9272936479907269
A000162,30/04/2023,01:45,3,5,0,6,7,5,40,0,1,51.2905466122003,2.4539059434856276
A000163,28/06/2023,08:36,2,3,2,2,5,7,30,3,2,52.9135072879464,2.208397641461795
A000164,28/12/2023,11:42,3,5,2,6,1,7,30,2,2,52.956371827582835,2.6547660333439995
A000165,10/12/2023,04:55,3,4,0,3,1,6,50,3,1,51.09209319994942,0.7891559109681753
A000166,06/06/2023,23:16,3,1,2,9,1,7,70,6,2,52.754196075896104,-2.0353759159939497
A000167,07/12/2023,02:39,3,2,1,9,3,4,20,8,1,51.32445285250633,-2.591234527582515
A000168,08/04/2023,08:39,3,4,3,4,4,1,70,5,1,50.91294571096623,1.8314031278756775
A000169,24/11/2023,22:01,3,2,2,2,7,4,40,5,2,53.45421128233147,1.88509376463051
A000170,24/10/2023,15:21,3,4,2,8,2,1,60,0,2,49.72347906831349,-1.6495875676137388
A000171,17/07/2023,08:49,2,3,3,3,3,5,70,2,2,50.79307616517386,-2.346255383776414
A000172,19/05/2023,00:07,3,3,3,5,4,7,70,5,2,51.673279811002274,1.6736340670828889
A000173,04/06/2023,16:44,3,5,2,9,4,5,50,9,1,49.52090922643326,-1.5431241668397384
A000174,28/12/2023,01:12,3,4,2,9,3,7,70,3,2,50.999712012157254,-0.8756183961622183
A000175,11/01/2023,03:14,2,5,3,4,4,1,30,2,2,53.42240978411446,-0.5480953021911169
A000176,11/01/2023,02:19,2,4,1,6,4,4,40,1,2,51.47537416793288,0.7252271895270962
A000177,13/11/2023,03:35,2,3,3,5,6,7,60,9,1,49.698013295791974,0.6306106590115902
A000178,19/07/2023,22:10,3,4,0,8,6,4,30,2,1,51.73306510777063,2.172699513516425
A000179,13/01/2023,10:05,3,1,2,9,1,1,60,5,2,51.56662367362516,-2.193809819842205
A000180,12/11/2023,06:59,3,3,0,2,5,1,50,2,2,50.368216064311625,-1.234091248582878
A000181,18/10/2023,03:39,3,5,1,4,5,5,60,0,2,52.87194127934567,1.4473955722088667
A000182,29/10/2023,14:02,2,2,1,4,6,6,60,1,1,53.23361042355336,-1.7862362692063358
A000183,20/11/2023,10:10,3,5,2,5,7,4,50,7,2,49.78447799276212,2.57780777699906
A000184,13/03/2023,06:41,3,1,3,8,6,4,50,3,1,50.79840746193296,-1.1959629109978132
A000185,05/01/2023,19:52,3,2,3,6,7,1,70,6,2,52.47316325137828,2.163339902008183
A000186,12/09/2023,00:35,3,5,3,9,1,6,60,5,1,52.36701528609891,-1.7408560799468888
A000187,06/09/2023,10:43,3,3,3,9,7,1,40,1,2,52.714565408480034,-1.185085700959169
A000188,04/01/2023,23:41,3,5,3,9,6,6,70,6,2,50.47626965957626,-2.0619351111969255
A000189,14/12/2023,11:15,3,1,0,2,7,4,40,9,1,51.02842698211827,2.857099131031798
A000190,28/07/2023,03:17,2,5,3,8,3,5,40,9,1,51.99667166101081,2.8101535675873133
A000191,05/06/2023,08:53,1,5,3,7,5,5,70,0,2,50.13583009182526,-2.8204279204725
A000192,30/09/2023,09:40,3,3,0,5,4,5,30,5,1,50.02659362961575,1.6899222343370819
A000193,08/01/2023,21:53,3,4,0,1,1,1,30,0,2,52.54611962956349,0.1964304900248349
A000194,28/01/2023,13:18,3,5,2,7,6,6,30,7,2,49.54355576041849,-0.6564096533926363
A000195,06/10/2023,00:53,3,2,0,8,2,5,50,3,1,50.93334341993816,0.550784719702143
A000196,15/09/2023,14:48,3,4,2,3,1,5,60,8,1,49.754585781397374,0.7488028346467185
A000197,03/08/2023,00:56,3,1,3,2,2,5,40,7,2,52.79135650529559,2.2726674626088346
A000198,16/03/2023,05:59,3,5,1,1,1,1,60,9,1,51.10883812630899,2.3713036461617576
A000199,28/12/2023,16:42,3,5,3,6,3,6,30,6,1,51.02972132911574,-2.044831528464412
A000200,16/05/2023,00:42,3,5,2,5,2,6,70,0,1,51.127902537981804,2.6959808441461726
A000201,28/07/2023,21:52,3,5,0,5,3,7,50,6,1,49.772325325409426,-2.7536243642104474
A000202,30/10/2023,23:36,3,4,3,4,3,5,40,2,1,51.343996561349606,-1.1889572154591006
A000203,09/08/2023,08:21,3,5,1,4,2,6,60,0,1,53.11708651932291,0.27294765735456494
A000204,25/11/2023,22:29,3,4,1,5,7,7,40,5,2,51.07193200322959,-2.827724400413301
A000205,28/09/2023,07:02,3,3,2,9,3,7,70,7,2,50.110622720827145,0.6812947763338931
A000206,17/12/2023,17:16,3,4,1,1,4,7,70,3,2,52.04357205574411,0.7133349917661512
A000207,04/04/2023,03:05,3,2,2,5,5,4,60,8,2,51.78056053737414,0.9259775282168624
A000208,28/05/2023,03:34,1,1,3,8,1,4,40,1,1,53.32771978803565,-0.7968095457993382
A000209,13/06/2023,15:11,3,4,3,6,1,6,40,2,2,51.23835549392437,-1.8961676404649712
A000210,22/10/2023,16:53,3,5,1,6,1,6,60,7,1,52.21939857947905,1.7755773076590606
A000211,26/12/2023,02:44,2,2,0,5,2,5,30,6,1,53.03302826971147,-1.953577008704555
A000212,20/10/2023,15:20,2,1,1,8,7,7,60,6,1,53.412778714857026,2.435582860877933
A000213,06/07/2023,13:47,3,3,0,4,2,1,70,6,2,51.694581143309385,-2.9469490604037625
A000214,29/11/2023,07:46,3,5,0,2,6,6,20,3,2,53.02630697984186,-3.0965825831153198
A000215,19/07/2023,01:00,3,1,2,5,5,1,20,7,2,51.077994496616036,-1.0440161248814954
A000216,15/10/2023,09:03,2,1,0,2,6,1,70,0,1,50.122215637941714,-1.8455488189980838
A000217,01/03/2023,00:33,3,2,1,2,5,6,50,0,1,51.09539832483225,-0.8638121387530541
A000218,25/03/2023,07:14,1,3,1,8,1,6,30,3,1,53.47281995075397,0.5706003123905378
A000219,12/07/2023,12:43,2,5,3,9,4,1,40,3,2,52.46425140257579,-2.176450574235191
A000220,12/05/2023,23:47,2,3,0,6,5,1,50,9,1,52.25566332389294,-0.5670235526291737
A000221,09/06/2023,13:02,3,3,2,7,3,5,70,7,1,50.34151125826539,0.7709105885364128
A000222,16/09/2023,13:27,2,4,3,4,4,1,50,8,1,52.62070362850586,-0.6211872490428462
A000223,05/10/2023,13:19,3,2,1,1,2,5,60,3,2,53.20491571970346,-0.7130536296932991
A000224,25/10/2023,00:00,3,2,3,6,1,6,40,5,1,51.73273674488368,0.6892767202857081
A000225,28/02/2023,02:07,3,4,1,1,5,6,70,7,1,51.35751334392998,-1.2046739776097064
A000226,24/08/2023,20:11,3,2,3,6,5,7,70,3,1,52.97105838751202,0.9327680637167358
A000227,19/01/2023,12:12,3,1,3,7,4,6,20,6,1,53.01783696392374,2.69839329754952
A000228,07/09/2023,01:45,3,4,1,8,5,1,60,7,1,52.33961039961082,2.261216266921634
A000229,09/04/2023,20:51,3,5,2,6,2,1,20,6,1,49.93300106462023,-3.071200571747611
A000230,28/08/2023,07:02,2,5,3,1,3,4,40,3,2,51.37487692660181,-2.294217177843262
A000231,02/07/2023,18:43,3,3,3,1,2,5,60,1,1,53.12460927149888,0.49704811711405983
A000232,01/10/2023,02:35,3,1,3,4,5,6,50,0,1,52.45777518943241,-0.7958764953719276
A000233,19/12/2023,10:13,2,2,1,7,4,4,70,3,1,51.666161202056216,2.4713268468068628
A000234,04/03/2023,11:34,3,1,0,6,3,1,40,1,1,51.164422582678114,-0.6613332992415971
A000235,29/05/2023,18:04,3,3,0,6,6,1,30,8,1,50.39191073377811,-1.3024368544190574
A000236,07/10/2023,05:00,2,3,0,9,6,6,50,2,2,49.669079361867226,-0.5318381131073159
A000237,24/03/2023,17:27,3,5,0,3,3,6,60,1,1,53.12457036125704,-0.3294264596871933
A000238,06/03/2023,19:00,2,2,3,4,6,6,50,3,2,50.45015406042876,1.946960104044336
A000239,09/12/2023,15:40,3,3,2,7,3,5,40,1,1,51.08545986764992,-1.9159446769062345
A000240,27/04/2023,11:35,3,5,1,8,3,4,50,9,1,51.51587428413257,-1.0176013776963617
A000241,16/01/2023,22:39,3,2,1,2,4,1,30,0,1,51.233508304663005,2.7841377624458343
A000242,23/01/2023,22:36,3,4,3,8,2,7,20,0,2,51.1690739398821,-2.1094780003940317
A000243,18/12/2023,19:50,3,3,2,4,5,4,70,1,2,51.51340856212612,0.18578300704493475
A000244,05/01/2023,22:29,2,5,0,8,1,6,70,9,1,52.63645786000677,-0.9173841995486572
A000245,11/11/2023,03:04,3,5,0,6,7,4,20,7,1,53.04754130366798,2.437119957807727
A000246,14/01/2023,00:38,3,3,2,6,1,7,50,9,2,52.7570580185435,-2.2146193074540985
A000247,21/10/2023,11:36,2,5,3,4,5,7,60,5,2,50.052452824584265,1.5321774907396501
A000248,07/05/2023,05:16,3,3,0,9,5,4,60,5,2,49.761870085696806,1.7114501688928132
A000249,08/02/2023,22:23,3,4,2,3,5,1,20,1,1,52.55991182018118,0.9715712145528898
A000250,06/12/2023,00:22,3,3,0,8,5,7,40,0,1,51.75979138498534,0.13962443703777136
A000251,17/07/2023,15:49,3,4,0,9,2,4,70,6,2,50.77605816293754,-0.5700206335244319
A000252,06/01/2023,16:42,1,3,0,7,3,7,40,2,1,51.73114823701019,1.1449150640131527
A000253,31/01/2023,21:50,3,4,3,4,3,1,20,5,1,51.86538673596042,-1.8907261258291301
A000254,04/08/2023,12:52,2,4,0,9,5,7,50,8,1,50.66945635670356,-2.2947331443700025
A000255,25/03/2023,20:59,2,2,0,1,3,4,40,0,1,52.51871127926725,2.7078975260984977
A000256,28/01/2023,00:18,3,1,3,9,7,7,60,5,1,53.19678679860048,0.7440597519350015
A000257,12/04/2023,19:24,3,2,0,4,7,7,50,1,1,53.254734234338144,0.5434424875836502
A000258,19/12/2023,20:19,3,1,2,9,3,6,50,6,1,52.017551518164446,-0.9527022965402766
A000259,26/09/2023,01:14,3,4,3,2,3,6,50,0,1,53.45063012041872,-2.429168349736972
A000260,05/05/2023,05:52,3,5,1,3,6,6,30,0,2,52.2903635822849,0.8045995106754448
A000261,14/10/2023,23:27,3,4,2,1,6,4,70,2,1,52.027520178966185,-0.9559070598677349
A000262,20/07/2023,01:18,3,1,2,8,1,1,70,5,1,51.01273946212859,0.46503521517463453
A000263,20/10/2023,20:59,3,3,0,4,6,5,70,0,2,51.701171172811364,-1.8352677251906957
A000264,18/12/2023,01:44,3,3,0,6,7,4,30,5,2,51.71649157396948,1.7786061035604104
A000265,12/01/2023,02:24,3,2,0,9,7,4,20,5,2,51.34444608689905,-1.8407197800488118
A000266,19/01/2023,16:50,3,2,0,2,3,6,30,8,2,51.70064556308695,-1.8725163016742066
A000267,31/07/2023,09:56,2,3,1,9,4,1,70,5,2,50.00947168859567,2.4208360795884007
A000268,18/07/2023,13:55,3,4,2,2,4,5,20,0,1,52.442868523701705,-0.4631624176372967
A000269,12/05/2023,22:11,3,3,1,9,5,5,40,3,1,52.31682578082198,0.20258461867025232
A000270,27/11/2023,01:27,3,5,3,9,6,5,60,2,2,52.33156220631825,-0.35952392474168826
A000271,03/03/2023,02:33,3,1,1,1,5,7,20,9,2,52.32133162740566,1.0010303887630596
A000272,18/03/2023,08:09,3,5,2,5,3,1,60,0,1,49.983691486589805,2.3107785630033386
A000273,26/04/2023,13:16,3,4,2,2,4,1,40,7,1,49.57660610961783,-3.040195396109732
