Accident_Index,Vehicle_Reference,Vehicle_Type,Age_of_Vehicle,Engine_Capacity,Age_of_Driver,Sex_of_Driver
A000129,1,8,2014,1400,50,1
A000130,1,6,2015,1000,69,1
A000131,1,20,2009,1400,54,2
A000132,1,18,2018,1600,35,1
A000133,1,7,2020,1000,22,1
A000134,1,9,2009,1400,37,1
A000135,1,16,2022,1400,49,2
A000136,1,17,2004,1000,25,2
A000137,1,5,2023,1600,22,2
A000138,1,11,2006,1600,47,1
A000139,1,19,2020,1000,46,2
A000140,1,13,2015,1400,70,1
A000141,1,18,2021,1000,20,1
A000142,1,18,2020,1600,71,1
A000143,1,6,2014,1600,27,1
A000144,1,10,2013,1400,54,1
A000145,1,3,2009,1000,74,2
A000146,1,17,2009,1000,69,1
A000147,1,4,2017,1000,20,1
A000148,1,11,2008,2500,44,2
A000149,1,15,2007,2500,48,2
A000150,1,6,2004,1000,62,2
A000151,1,13,2010,2500,58,2
A000152,1,18,2023,1600,59,2
A000153,1,4,2011,1000,56,2
A000154,1,16,2005,1000,37,2
A000155,1,16,2006,2500,38,2
A000156,1,7,2007,1600,72,1
A000157,1,3,2018,1000,50,2
A000158,1,15,2015,2500,44,1
A000159,1,2,2018,1600,40,2
A000160,1,4,2023,2000,74,2
A000161,1,16,2016,1400,73,2
A000162,1,17,2014,1000,44,2
A000163,1,18,2014,1000,64,2
A000164,1,18,2016,2500,47,2
A000165,1,6,2009,2000,74,1
A000166,1,2,2016,2000,57,2
A000167,1,16,2009,1000,25,1
A000168,1,18,2021,1600,65,2
A000169,1,20,2010,1400,36,1
A000170,1,17,2019,2000,20,1
A000171,1,1,2014,2500,22,2
A000172,1,3,2020,2000,56,1
A000173,1,3,2014,2000,54,2
A000174,1,6,2019,1400,54,1
A000175,1,4,2017,1600,37,2
A000176,1,2,2005,1000,45,2
A000177,1,20,2010,2500,60,2
A000178,1,13,2014,1400,69,2
A000179,1,8,2023,1400,47,2
A000180,1,17,2006,1000,69,1
A000181,1,3,2018,2500,43,2
A000182,1,8,2004,1600,37,1
A000183,1,3,2007,1400,51,1
A000184,1,3,2008,1000,71,1
A000185,1,14,2022,1600,53,1
A000186,1,4,2013,1000,34,2
A000187,1,12,2018,2500,42,1
A000188,1,19,2016,2500,55,2
A000189,1,11,2011,1000,45,1
A000190,1,9,2012,2000,31,1
A000191,1,9,2012,1600,71,2
A000192,1,2,2013,1000,20,2
A000193,1,13,2017,2500,69,1
A000194,1,17,2010,1400,35,1
A000195,1,6,2014,2500,66,2
A000196,1,13,2011,2500,72,2
A000197,1,3,2017,1400,63,2
A000198,1,12,2014,1600,42,2
A000199,1,19,2008,1000,31,2
A000200,1,14,2005,1600,59,1
A000201,1,20,2011,1000,68,2
A000202,1,11,2021,1000,66,2
A000203,1,14,2012,1000,72,1
A000204,1,6,2006,1600,80,1
A000205,1,3,2005,1600,35,2
A000206,1,17,2016,1000,63,1
A000207,1,1,2020,1600,52,2
A000208,1,8,2008,1400,74,2
A000209,1,14,2010,1000,18,1
A000210,1,5,2023,1600,34,2
A000211,1,16,2017,1400,47,2
A000212,1,12,2015,2500,76,2
A000213,1,8,2011,1600,51,1
A000214,1,15,2010,2000,63,1
A000215,1,11,2015,1000,45,2
A000216,1,4,2004,1400,58,1
A000217,1,2,2013,1600,46,2
A000218,1,20,2021,2000,22,1
A000219,1,12,2012,2000,26,2
A000220,1,17,2023,2000,75,1
A000221,1,2,2016,1400,31,1
A000222,1,14,2019,2000,28,2
A000223,1,17,2018,1000,40,1
A000224,1,2,2017,1600,49,1
A000225,1,13,2012,1400,61,1
A000226,1,15,2007,1600,39,1
A000227,1,12,2015,1600,66,1
A000228,1,7,2008,1000,62,1
A000229,1,20,2005,1400,53,2
A000230,1,8,2015,2000,61,1
A000231,1,3,2019,1600,48,2
A000232,1,12,2004,2500,26,1
A000233,1,8,2020,1000,67,2
A000234,1,11,2022,1000,66,1
A000235,1,18,2018,2500,41,2
A000236,1,10,2017,1000,48,2
A000237,1,19,2010,2500,78,2
A000238,1,7,2012,1000,21,2
A000239,1,12,2013,1600,59,1
A000240,1,4,2018,2500,43,2
A000241,1,5,2006,1600,38,1
A000242,1,6,2010,2500,44,1
A000243,1,6,2012,1600,41,1
A000244,1,1,2023,1600,66,2
A000245,1,9,2009,2500,64,2
A000246,1,16,2004,1600,72,2
A000247,1,8,2014,2000,67,2
A000248,1,4,2008,1000,32,1
A000249,1,5,2011,1000,60,2
A000250,1,6,2019,1400,36,2
A000251,1,3,2023,2500,56,2
A000252,1,14,2023,2000,47,1
A000253,1,12,2006,2000,68,1
A000254,1,13,2020,1000,71,1
A000255,1,16,2011,2000,25,1
A000256,1,13,2023,1600,32,2
A000257,1,6,2014,2500,78,2
A000258,1,9,2015,1400,41,1
A000259,1,5,2006,1400,67,1
A000260,1,6,2018,1600,70,1
A000261,1,1,2021,2000,30,2
A000262,1,4,2014,2500,33,2
A000263,1,6,2014,1600,45,1
A000264,1,12,2014,2500,41,1
A000265,1,12,2008,2000,52,2
A000266,1,20,2011,1000,40,1
A000267,1,19,2016,1400,64,2
A000268,1,6,2010,1400,74,2
A000269,1,7,2007,1400,77,1
A000270,1,2,2020,2500,78,1
A000271,1,17,2023,1600,49,2
A000272,1,11,2008,2500,20,2
A000273,1,12,2007,2000,53,1
A000274,1,13,2007,1600,26,2
A000275,1,13,2015,1600,71,1
A000276,1,6,2013,2000,26,2
A000277,1,3,2015,1400,65,1
A000278,1,9,2017,1400,19,2
A000279,1,12,2012,1600,46,2
A000280,1,1,2005,2000,22,2
A000281,1,9,2004,1400,34,2
A000282,1,11,2007,2500,31,1
A000283,1,13,2015,1000,41,2
A000284,1,9,2007,1400,64,1
A000285,1,7,2019,1600,49,2
A000286,1,13,2023,2500,55,2
A000287,1,1,2016,1600,62,1
A000288,1,5,2012,2000,70,2
A000289,1,19,2011,2500,32,2
A000290,1,9,2010,1400,63,2
A000291,1,9,2008,1400,42,1
A000292,1,1,2018,2000,62,1
A000293,1,14,2016,2000,77,1
A000294,1,2,2018,2000,79,1
A000295,1,12,2021,1600,79,1
A000296,1,20,2008,2500,35,2
A000297,1,1,2022,2000,27,2
A000298,1,6,2005,1000,71,2
A000299,1,6,2011,1000,39,1
A000300,1,2,2004,1600,50,1
A000301,1,6,2020,1600,73,1
A000302,1,9,2013,2000,78,1
A000303,1,20,2006,1600,45,2
A000304,1,1,2022,1000,66,1
A000305,1,7,2008,2000,44,2
A000306,1,12,2017,1400,29,1
A000307,1,5,2005,1000,18,1
A000308,1,10,2010,2500,27,1
A000309,1,11,2007,1000,58,2
A000310,1,16,2004,2500,48,1
A000311,1,4,2023,1400,32,2
A000312,1,19,2018,2500,80,2
A000313,1,3,2016,2500,51,1
A000314,1,20,2023,2500,62,2
A000315,1,1,2009,2000,50,1
A000316,1,11,2010,2500,43,1
A000317,1,10,2022,1600,43,2
A000318,1,14,2016,1000,46,2
A000319,1,16,2014,1400,19,2
A000320,1,15,2008,1600,42,1
A000321,1,9,2018,1000,41,2
A000322,1,4,2009,1600,66,1
A000323,1,17,2017,1400,55,2
A000324,1,18,2008,1400,75,2
A000325,1,7,2021,2000,56,1
A000326,1,14,2012,2500,50,1
A000327,1,1,2011,2500,75,1
A000328,1,10,2015,1600,35,2
A000329,1,15,2011,1400,54,1
A000330,1,11,2019,2000,60,1
A000331,1,18,2007,2000,55,1
A000332,1,1,2008,2000,40,1
A000333,1,12,2016,2000,29,1
A000334,1,15,2006,1600,73,2
A000335,1,6,2012,1600,42,1
A000336,1,6,2018,2000,47,1
A000337,1,16,2014,1000,57,1
A000338,1,14,2009,1400,46,2
A000339,1,19,2015,1400,61,1
A000340,1,6,2016,1600,79,2
A000341,1,8,2009,1000,20,1
A000342,1,9,2013,1000,60,2
A000343,1,10,2010,1000,28,2
A000344,1,11,2018,1600,74,2
A000345,1,6,2013,1400,31,1
A000346,1,13,2014,1400,66,2
A000347,1,9,2010,2000,57,2
A000348,1,5,2006,1400,44,1
A000349,1,4,2018,1600,63,2
A000350,1,2,2009,1400,42,2
A000351,1,4,2022,2000,47,2
A000352,1,2,2017,1600,41,2
A000353,1,11,2010,2000,65,1
A000354,1,14,2018,1000,48,2
A000355,1,1,2011,1600,33,1
A000356,1,9,2005,1600,18,1
A000357,1,1,2012,2500,48,2
A000358,1,17,2020,2000,54,1
A000359,1,1,2014,2500,44,1
A000360,1,1,2009,1600,52,2
A000361,1,17,2004,2000,40,2
A000362,1,6,2014,1000,75,2
A000363,1,5,2018,1000,75,1
A000364,1,3,2012,1600,46,1
A000365,1,3,2011,1600,55,2
A000366,1,16,2021,2000,59,2
A000367,1,4,2005,2500,59,1
A000368,1,16,2018,1000,72,2
A000369,1,17,2007,2500,30,2
A000370,1,20,2021,2500,61,2
A000371,1,17,2005,1000,54,1
A000372,1,19,2012,1000,45,2
A000373,1,17,2008,1600,53,1
A000374,1,20,2007,2000,71,1
A000375,1,5,2012,2500,60,2
A000376,1,19,2023,2000,45,2
A000377,1,15,2005,1400,77,1
A000378,1,9,2015,2500,65,1
A000379,1,19,2016,2000,38,2
A000380,1,12,2013,2000,72,2
A000381,1,1,2017,1600,26,2
A000382,1,17,2018,1600,59,2
A000383,1,3,2009,1600,42,2
A000384,1,5,2019,2500,46,1
A000385,1,9,2016,2500,26,2
A000386,1,10,2013,1400,67,2
A000387,1,13,2018,2000,22,1
A000388,1,9,2008,1400,41,2
A000389,1,18,2007,1400,47,1
A000390,1,17,2023,2500,33,1
A000391,1,2,2019,1000,62,2
A000392,1,8,2016,2500,30,1
A000393,1,20,2010,1000,70,2
A000394,1,14,2023,1400,75,2
A000395,1,13,2010,1000,18,2
A000396,1,5,2004,1600,34,2
A000397,1,10,2006,1600,62,2
A000398,1,4,2010,1000,30,1
A000399,1,9,2005,2000,64,1
A000400,1,3,2018,1000,34,2
A000401,1,8,2006,1600,78,1
A000402,1,7,2009,1600,40,2
A000403,1,19,2022,1000,24,2
A000404,1,6,2014,2000,29,2
A000405,1,6,2013,1000,46,2
A000406,1,15,2021,2500,52,1
A000407,1,13,2019,1600,79,2
A000408,1,3,2019,1400,76,2
A000409,1,17,2010,2500,33,1
A000410,1,8,2014,1000,44,1
A000411,1,12,2016,1400,58,1
A000412,1,16,2016,1000,58,2
A000413,1,19,2004,1400,59,2
A000414,1,6,2011,1600,64,2
A000415,1,11,2015,1000,79,2
A000416,1,18,2018,2500,56,1
A000417,1,1,2007,1000,53,1
A000418,1,10,2012,2500,34,1
A000419,1,11,2023,1000,24,2
A000420,1,2,2008,1400,36,1
A000421,1,19,2007,2500,79,2
A000422,1,18,2020,2000,34,2
A000423,1,14,2013,2500,25,1
A000424,1,9,2018,1400,55,1
A000425,1,9,2006,2500,73,1
A000426,1,2,2014,1600,34,1
A000427,1,3,2020,1600,77,2
A000428,1,1,2015,2500,56,1
A000429,1,16,2010,2000,44,1
A000430,1,15,2022,2500,47,1
A000431,1,16,2013,1600,40,1
A000432,1,7,2011,1000,79,1
A000433,1,3,2021,1400,78,2
A000434,1,11,2009,1000,34,1
A000435,1,17,2016,2500,22,2
A000436,1,9,2015,1600,28,2
A000437,1,10,2017,1000,62,2
A000438,1,6,2020,1000,62,1
A000439,1,7,2016,1600,68,1
A000440,1,13,2015,1000,65,1
A000441,1,19,2021,1000,66,2
A000442,1,20,2022,1600,51,2
A000443,1,2,2008,2500,57,2
A000444,1,7,2022,1400,51,1
A000445,1,17,2010,1400,80,2
A000446,1,10,2018,2500,27,2
A000447,1,20,2004,1600,51,2
A000448,1,7,2019,1600,48,2
A000449,1,19,2007,1400,76,1
A000450,1,4,2015,1000,54,2
A000451,1,7,2016,1600,32,1
A000452,1,10,2013,1600,74,2
A000453,1,15,2007,1600,65,2
A000454,1,20,2005,2000,34,2
A000455,1,10,2022,1000,70,2
A000456,1,10,2016,1400,30,2
A000457,1,19,2012,2000,49,1
A000458,1,19,2023,2500,50,1
A000459,1,13,2006,2500,65,1
A000460,1,6,2016,2000,63,1
A000461,1,17,2009,1400,23,2
A000462,1,2,2014,1600,70,2
A000463,1,19,2008,1000,62,1
A000464,1,6,2020,2500,75,1
A000465,1,10,2014,2500,19,1
A000466,1,7,2006,1600,52,1
A000467,1,16,2004,1000,26,1
A000468,1,16,2017,1000,40,1
A000469,1,2,2004,2000,77,2
A000470,1,10,2019,1400,80,1
A000471,1,13,2021,1400,20,1
A000472,1,10,2009,1600,19,1
A000473,1,18,2013,1400,53,2
A000474,1,10,2019,2500,37,2
A000475,1,8,2016,1000,57,1
A000476,1,2,2022,1000,34,1
A000477,1,2,2005,1600,46,1
A000478,1,6,2010,2000,64,1
A000479,1,1,2016,1600,46,2
A000480,1,10,2008,2500,40,1
A000481,1,16,2022,1600,79,2
A000482,1,14,2014,2500,78,2
A000483,1,14,2017,1000,74,2
A000484,1,14,2007,1600,80,2
A000485,1,4,2012,1600,78,2
A000486,1,20,2008,1400,31,2
A000487,1,8,2004,2500,50,2
A000488,1,9,2004,1400,74,1
A000489,1,18,2015,1400,65,2
A000490,1,2,2009,1000,49,2
A000491,1,2,2012,2000,48,1
A000492,1,11,2017,1400,74,1
A000493,1,20,2007,1400,55,2
A000494,1,13,2005,2000,72,1
A000495,1,5,2011,2000,38,2
A000496,1,3,2023,2000,69,2
A000497,1,5,2004,1600,26,2
A000498,1,18,2013,1600,52,2
A000499,1,3,2005,1600,72,2
A000500,1,14,2021,2500,72,2
A000501,1,2,2013,2500,60,2
A000502,1,13,2011,1000,43,2
A000503,1,13,2018,2500,45,1
A000504,1,10,2021,2000,49,2
A000505,1,9,2020,1400,74,1
A000506,1,11,2006,2000,18,1
A000507,1,6,2012,1400,66,2
A000508,1,10,2014,2500,68,1
A000509,1,18,2018,1600,51,2
A000510,1,7,2017,2500,35,2
A000511,1,4,2013,1400,57,1
A000512,1,20,2013,2500,38,1
A000513,1,17,2012,2500,68,1
A000514,1,18,2019,1600,31,2
A000515,1,7,2008,1400,51,2
A000516,1,6,2022,2000,53,1
A000517,1,18,2009,1000,51,1
A000518,1,2,2017,1000,19,2
A000519,1,2,2005,1000,19,2
A000520,1,13,2008,1000,37,2
A000521,1,7,2005,2500,56,2
A000522,1,16,2009,1600,51,2
A000523,1,10,2019,2000,79,2
A000524,1,6,2020,2500,63,1
A000525,1,10,2022,1400,35,2
A000526,1,6,2012,2500,31,1
A000527,1,15,2022,1000,67,1
A000528,1,7,2007,1000,62,1
A000529,1,4,2017,1000,27,1
A000530,1,2,2018,2000,25,2
A000531,1,19,2010,2500,47,1
A000532,1,9,2017,1600,61,2
A000533,1,14,2009,1400,50,1
A000534,1,17,2006,2500,75,2
A000535,1,15,2017,1400,21,1
A000536,1,15,2020,1600,25,1
A000537,1,19,2005,1600,79,1
A000538,1,12,2009,1600,43,2
A000539,1,20,2011,1600,52,1
A000540,1,13,2005,1600,73,2
A000541,1,5,2008,1000,77,1
A000542,1,19,2019,1400,38,2
A000543,1,6,2010,2500,53,1
A000544,1,10,2008,1000,42,1
A000545,1,9,2017,2000,68,1
A000546,1,18,2009,1000,56,1
A000547,1,7,2011,2500,74,1
A000548,1,5,2007,1400,30,1
A000549,1,3,2017,1400,68,1
A000550,1,12,2016,1400,31,2
A000551,1,9,2007,1000,76,1
A000552,1,16,2017,1400,38,2
A000553,1,2,2007,1400,57,2
A000554,1,1,2015,1400,28,1
A000555,1,3,2006,1400,80,2
A000556,1,1,2022,1600,52,1
A000557,1,12,2011,2000,40,2
A000558,1,19,2022,1400,57,2
A000559,1,8,2014,1400,50,2
A000560,1,16,2011,2500,31,2
A000561,1,8,2013,2000,58,1
A000562,1,13,2011,1000,54,2
A000563,1,16,2021,1600,79,2
A000564,1,12,2010,2000,75,2
A000565,1,6,2015,2500,73,1
A000566,1,2,2021,2500,43,1
A000567,1,7,2006,1000,43,2
A000568,1,6,2010,1000,68,1
A000569,1,1,2020,2500,19,1
A000570,1,19,2009,1600,40,2
A000571,1,17,2009,2000,26,1
A000572,1,3,2010,2000,30,1
A000573,1,20,2020,2000,34,1
A000574,1,3,2022,1400,61,1
A000575,1,16,2005,2000,35,2
A000576,1,3,2018,1000,59,2
A000577,1,14,2005,2000,38,2
A000578,1,16,2020,1600,18,1
A000579,1,15,2017,2000,24,1
A000580,1,1,2017,1000,35,2
A000581,1,18,2007,1000,63,1
A000582,1,15,2012,2500,41,2
A000583,1,3,2015,1000,43,2
A000584,1,7,2006,1400,80,1
A000585,1,10,2008,1600,50,2
A000586,1,18,2022,2000,66,1
A000587,1,3,2004,1400,53,2
A000588,1,5,2014,2500,20,1
A000589,1,2,2023,1600,77,2
A000590,1,15,2008,2000,47,1
A000591,1,19,2020,1600,70,2
A000592,1,10,2013,1400,75,2
A000593,1,16,2010,2500,22,1
A000594,1,4,2008,2000,23,2
A000595,1,10,2019,2500,44,1
A000596,1,1,2019,1000,79,1
A000597,1,16,2011,1400,71,2
A000598,1,18,2015,1600,74,2
A000599,1,7,2017,1600,74,2
A000600,1,11,2019,2000,51,2
A000601,1,3,2022,1600,75,1
A000602,1,18,2008,2000,62,1
A000603,1,9,2018,2500,27,1
A000604,1,4,2004,1600,61,1
A000605,1,8,2020,1000,22,1
A000606,1,8,2009,2000,63,1
A000607,1,1,2019,1400,53,1
A000608,1,20,2014,1600,42,1
A000609,1,18,2012,1600,32,1
A000610,1,17,2012,2000,68,1
A000611,1,20,2015,1000,72,2
A000612,1,19,2015,1600,19,1
A000613,1,19,2008,1400,45,1
A000614,1,10,2013,1400,48,2
A000615,1,9,2006,2000,27,2
A000616,1,4,2006,2000,64,2
A000617,1,18,2013,2500,56,2
A000618,1,6,2005,2000,45,2
A000619,1,9,2022,2000,63,1
A000620,1,19,2022,1000,41,1
A000621,1,9,2016,2000,50,2
A000622,1,14,2007,1000,18,2
A000623,1,9,2013,1600,28,2
A000624,1,3,2007,2500,69,1
A000625,1,3,2020,2000,45,2
A000626,1,18,2016,2000,40,1
A000627,1,13,2016,1600,63,2
A000628,1,19,2004,2000,73,1
A000629,1,18,2016,1400,30,1
A000630,1,13,2018,1400,72,2
A000631,1,15,2006,1600,70,2
A000632,1,3,2011,1400,67,1
A000633,1,6,2016,2000,46,2
A000634,1,5,2022,1000,19,1
A000635,1,2,2020,2500,26,1
A000636,1,16,2009,1400,80,1
A000637,1,2,2023,1000,49,1
A000638,1,12,2022,1600,70,2
A000639,1,13,2010,1000,77,2
A000640,1,6,2007,2000,54,2
A000641,1,7,2010,1400,33,1
A000642,1,16,2009,2500,53,2
A000643,1,6,2010,1600,38,2
A000644,1,20,2018,2500,31,1
A000645,1,12,2019,1400,36,1
A000646,1,18,2013,1400,49,1
A000647,1,2,2021,1400,37,2
A000648,1,4,2013,2500,72,2
A000649,1,20,2019,1400,21,2
A000650,1,16,2011,1600,39,1
A000651,1,6,2020,1000,58,1
A000652,1,14,2020,1400,42,1
A000653,1,2,2013,1400,42,2
A000654,1,9,2020,1400,46,2
A000655,1,2,2018,2500,54,2
A000656,1,1,2023,2500,33,1
A000657,1,5,2023,1600,37,1
A000658,1,7,2005,1400,35,2
A000659,1,20,2023,1000,25,1
A000660,1,2,2007,1000,41,2
A000661,1,17,2022,2000,57,1
A000662,1,18,2021,1000,67,1
A000663,1,13,2008,2500,37,1
A000664,1,10,2023,1000,52,2
A000665,1,16,2012,1400,63,1
A000666,1,20,2012,1400,43,1
A000667,1,15,2013,2000,34,1
A000668,1,16,2008,1400,43,2
A000669,1,3,2011,1400,41,1
A000670,1,20,2019,1400,18,1
A000671,1,3,2006,2500,71,1
A000672,1,20,2018,2000,43,1
A000673,1,19,2013,2000,63,2
A000674,1,4,2013,1000,21,1
A000675,1,11,2008,1400,78,1
A000676,1,14,2007,2500,21,1
A000677,1,14,2007,2000,79,2
A000678,1,16,2011,2000,71,2
A000679,1,5,2021,1600,63,2
A000680,1,11,2010,2500,27,2
A000681,1,15,2020,2000,56,2
A000682,1,12,2011,1400,77,1
A000683,1,6,2016,1400,38,2
A000684,1,1,2004,2000,57,2
A000685,1,8,2011,2000,28,1
A000686,1,11,2004,2000,18,1
A000687,1,18,2007,1400,46,1
A000688,1,9,2022,2500,24,2
A000689,1,10,2013,2000,31,1
A000690,1,19,2019,2500,79,1
A000691,1,14,2004,1400,27,2
A000692,1,5,2017,2000,80,1
A000693,1,10,2013,1000,22,2
A000694,1,17,2017,2500,46,1
A000695,1,12,2006,2000,26,2
A000696,1,6,2022,2500,57,2
A000697,1,1,2011,1000,18,1
A000698,1,6,2022,1000,38,2
A000699,1,2,2022,1600,48,2
A000700,1,4,2018,2000,62,1
A000701,1,13,2006,2000,68,2
A000702,1,3,2020,2000,25,2
A000703,1,7,2005,1400,33,2
A000704,1,9,2012,2500,53,1
A000705,1,3,2016,2500,48,2
A000706,1,3,2022,1400,60,1
A000707,1,9,2011,2000,67,2
A000708,1,14,2010,1600,44,2
A000709,1,9,2019,2000,78,2
A000710,1,20,2008,2000,27,2
A000711,1,14,2022,1000,32,1
A000712,1,7,2017,1400,68,1
A000713,1,20,2022,2500,59,2
A000714,1,19,2012,2000,55,2
A000715,1,14,2023,1400,24,1
A000716,1,14,2021,1400,56,2
A000717,1,6,2006,1600,19,2
A000718,1,4,2016,1400,39,2
A000719,1,12,2017,1400,59,1
A000720,1,2,2009,2000,56,1
A000721,1,13,2015,1600,27,1
A000722,1,20,2017,1400,54,1
A000723,1,20,2007,2000,64,2
A000724,1,2,2006,1600,29,1
A000725,1,8,2017,2000,25,1
A000726,1,3,2019,1000,53,1
A000727,1,18,2016,1600,67,1
A000728,1,14,2016,2500,31,2
A000729,1,19,2019,2500,39,2
A000730,1,7,2004,2500,54,1
A000731,1,10,2021,1000,41,1
A000732,1,18,2005,1400,22,1
A000733,1,10,2014,1000,47,1
A000734,1,13,2005,1000,63,1
A000735,1,8,2014,1400,63,1
A000736,1,16,2009,1000,75,1
A000737,1,8,2011,1600,77,2
A000738,1,14,2020,1400,60,1
A000739,1,2,2012,1000,68,2
A000740,1,7,2019,1600,78,2
A000741,1,9,2007,2500,30,2
A000742,1,8,2018,1000,20,2
A000743,1,5,2008,2500,66,2
A000744,1,6,2014,1600,42,2
A000745,1,2,2011,2500,60,2
A000746,1,9,2006,1600,35,2
A000747,1,17,2020,2000,72,2
A000748,1,3,2014,1600,35,2
A000749,1,6,2021,1000,50,2
A000750,1,13,2012,2500,46,1
A000751,1,14,2009,1600,66,1
A000752,1,15,2021,1400,51,2
A000753,1,13,2014,1600,37,1
A000754,1,8,2014,2000,34,2
A000755,1,7,2010,1000,40,1
A000756,1,6,2005,1000,58,1
A000757,1,20,2020,1000,64,1
A000758,1,13,2016,1000,33,1
A000759,1,7,2013,2500,60,1
A000760,1,13,2009,2500,25,1
A000761,1,10,2018,2500,74,2
A000762,1,6,2005,1600,57,1
A000763,1,18,2006,2000,28,1
A000764,1,13,2013,2000,49,2
A000765,1,16,2017,1600,77,1
A000766,1,16,2010,1600,49,2
A000767,1,20,2017,2500,25,1
A000768,1,17,2015,2000,60,1
A000769,1,10,2014,1600,70,1
